17-02-2026 13:52:54 | INFO     | core.report_gen:__init__:156 | SODA       | GeneradorReportes inicializado para: http://localhost:8888/
17-02-2026 13:52:54 | INFO     | __main__:ejecutar_mapeo_individual:668 | SODA       | Ejecutando modulos de mapeo individuales: discoverer
17-02-2026 13:52:54 | INFO     | modules.map.discoverer:run:146 | DISCOVERER | Iniciando descubrimiento de http://localhost:8888/
17-02-2026 13:52:54 | INFO     | modules.map.discoverer:run:147 | DISCOVERER | Profundidad máxima: 4, Límite por directorio: 30
17-02-2026 13:52:54 | INFO     | modules.map.discoverer:_descubrir:1027 | DISCOVERER | Fase 0: descubrimiento inicial desde http://localhost:8888/
17-02-2026 13:52:54 | DEBUG    | modules.map.discoverer:_realizar_peticion:436 | DISCOVERER | Fetching: http://localhost:8888/
17-02-2026 13:52:54 | DEBUG    | modules.map.discoverer:_realizar_peticion:437 | DISCOVERER | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0
17-02-2026 13:52:54 | DEBUG    | modules.map.discoverer:_realizar_peticion:456 | DISCOVERER | Código de estado 200: http://localhost:8888/
17-02-2026 13:52:54 | DEBUG    | modules.map.discoverer:_descubrir:1038 | DISCOVERER | HTML raíz: 7 enlaces extraídos
17-02-2026 13:52:56 | DEBUG    | modules.map.discoverer:_realizar_peticion:436 | DISCOVERER | Fetching: http://localhost:8888/robots.txt
17-02-2026 13:52:56 | DEBUG    | modules.map.discoverer:_realizar_peticion:437 | DISCOVERER | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36
17-02-2026 13:52:56 | DEBUG    | modules.map.discoverer:_realizar_peticion:456 | DISCOVERER | Código de estado 200: http://localhost:8888/robots.txt
17-02-2026 13:52:56 | DEBUG    | modules.map.discoverer:_descubrir:1048 | DISCOVERER | robots.txt encontrado
17-02-2026 13:52:56 | DEBUG    | modules.map.discoverer:_obtener_sitemap:660 | DISCOVERER | Obteniendo sitemap: http://localhost:8888/sitemap.xml
17-02-2026 13:52:57 | DEBUG    | modules.map.discoverer:_realizar_peticion:436 | DISCOVERER | Fetching: http://localhost:8888/sitemap.xml
