17-02-2026 13:35:49 | INFO     | core.report_gen:__init__:156 | SODA       | GeneradorReportes inicializado para: http://localhost:8888/
17-02-2026 13:35:49 | INFO     | __main__:ejecutar_mapeo_individual:668 | SODA       | Ejecutando modulos de mapeo individuales: crawler
17-02-2026 13:35:49 | INFO     | modules.map.crawler:run:149 | CRAWLER    | Iniciando crawleo de http://localhost:8888/
17-02-2026 13:35:49 | INFO     | modules.map.crawler:run:150 | CRAWLER    | Profundidad máxima: 4, Límite URLs: 25000
17-02-2026 13:35:49 | INFO     | modules.map.crawler:_descubrir_urls:920 | CRAWLER    | Iniciando crawleo desde: http://localhost:8888/
17-02-2026 13:35:49 | DEBUG    | modules.map.crawler:_realizar_peticion:435 | CRAWLER    | Fetching: http://localhost:8888/robots.txt
17-02-2026 13:35:49 | DEBUG    | modules.map.crawler:_realizar_peticion:436 | CRAWLER    | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:120.0) Gecko/20100101 Firefox/120.0
17-02-2026 13:35:49 | DEBUG    | modules.map.crawler:_realizar_peticion:455 | CRAWLER    | Código de estado 200: http://localhost:8888/robots.txt
17-02-2026 13:35:49 | DEBUG    | modules.map.crawler:_obtener_sitemap:669 | CRAWLER    | Obteniendo sitemap: http://localhost:8888/sitemap.xml
17-02-2026 13:35:50 | DEBUG    | modules.map.crawler:_realizar_peticion:435 | CRAWLER    | Fetching: http://localhost:8888/sitemap.xml
17-02-2026 13:35:50 | DEBUG    | modules.map.crawler:_realizar_peticion:436 | CRAWLER    | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36
17-02-2026 13:35:50 | DEBUG    | modules.map.crawler:_realizar_peticion:455 | CRAWLER    | Código de estado 200: http://localhost:8888/sitemap.xml
17-02-2026 13:35:52 | DEBUG    | modules.map.crawler:_realizar_peticion:435 | CRAWLER    | Fetching: http://localhost:8888/
17-02-2026 13:35:52 | DEBUG    | modules.map.crawler:_realizar_peticion:436 | CRAWLER    | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Safari/605.1.15
17-02-2026 13:35:52 | DEBUG    | modules.map.crawler:_realizar_peticion:455 | CRAWLER    | Código de estado 200: http://localhost:8888/
17-02-2026 13:35:52 | INFO     | modules.map.crawler:_descubrir_urls:1063 | CRAWLER    | [1] depth=0, pending=6, est=7s
17-02-2026 13:35:53 | DEBUG    | modules.map.crawler:_realizar_peticion:435 | CRAWLER    | Fetching: http://localhost:8888/about/
17-02-2026 13:35:53 | DEBUG    | modules.map.crawler:_realizar_peticion:436 | CRAWLER    | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Safari/605.1.15
17-02-2026 13:35:53 | DEBUG    | modules.map.crawler:_realizar_peticion:455 | CRAWLER    | Código de estado 200: http://localhost:8888/about/
17-02-2026 13:35:53 | INFO     | modules.map.crawler:_descubrir_urls:1063 | CRAWLER    | [2] depth=1, pending=8, est=9s
17-02-2026 13:35:54 | DEBUG    | modules.map.crawler:_realizar_peticion:435 | CRAWLER    | Fetching: http://localhost:8888/blog/
17-02-2026 13:35:54 | DEBUG    | modules.map.crawler:_realizar_peticion:436 | CRAWLER    | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0
17-02-2026 13:35:54 | DEBUG    | modules.map.crawler:_realizar_peticion:455 | CRAWLER    | Código de estado 200: http://localhost:8888/blog/
17-02-2026 13:35:54 | INFO     | modules.map.crawler:_descubrir_urls:1063 | CRAWLER    | [3] depth=1, pending=14, est=16s
17-02-2026 13:35:55 | DEBUG    | modules.map.crawler:_realizar_peticion:435 | CRAWLER    | Fetching: http://localhost:8888/products/
17-02-2026 13:35:55 | DEBUG    | modules.map.crawler:_realizar_peticion:436 | CRAWLER    | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0
17-02-2026 13:35:55 | DEBUG    | modules.map.crawler:_realizar_peticion:455 | CRAWLER    | Código de estado 200: http://localhost:8888/products/
17-02-2026 13:35:55 | INFO     | modules.map.crawler:_descubrir_urls:1063 | CRAWLER    | [4] depth=1, pending=49, est=56s
17-02-2026 13:35:56 | DEBUG    | modules.map.crawler:_realizar_peticion:435 | CRAWLER    | Fetching: http://localhost:8888/docs/
